date,fips,county,tests,cases,recovered,deaths
2020-07-10,19153,Polk,57544,6959,5359,182
2020-07-10,19193,Woodbury,17294,3281,3126,44
2020-07-10,19013,Black Hawk,17622,2395,1886,58
2020-07-10,19021,Buena Vista,7179,1725,1586,11
2020-07-10,19103,Johnson,17389,1373,855,8
2020-07-10,19113,Linn,21957,1333,1110,82
2020-07-10,19049,Dallas,11358,1330,1052,31
2020-07-10,19127,Marshall,6169,1065,951,19
2020-07-10,19163,Scott,15598,915,598,10
2020-07-10,19061,Dubuque,14050,828,442,22
2020-07-10,19169,Story,9027,823,427,4
2020-07-10,19155,Pottawattamie,10364,764,652,12
2020-07-10,19179,Wapello,4360,712,666,31
2020-07-10,19047,Crawford,3045,679,624,3
2020-07-10,19139,Muscatine,5080,676,560,44
2020-07-10,19167,Sioux,3106,491,385,0
2020-07-10,19171,Tama,2526,477,405,29
2020-07-10,19197,Wright,2766,389,310,1
2020-07-10,19115,Louisa,1494,363,342,13
2020-07-10,19149,Plymouth,2949,333,282,5
2020-07-10,19099,Jasper,3356,332,277,17
2020-07-10,19181,Warren,5194,299,235,1
2020-07-10,19059,Dickinson,2747,286,182,3
2020-07-10,19187,Webster,4777,276,155,4
2020-07-10,19183,Washington,2403,248,219,9
2020-07-10,19033,Cerro Gordo,5055,220,109,1
2020-07-10,19079,Hamilton,2032,192,176,1
2020-07-10,19015,Boone,2954,158,121,1
2020-07-10,19041,Clay,1954,143,99,1
2020-07-10,19039,Clarke,1120,137,116,3
2020-07-10,19005,Allamakee,1549,135,117,4
2020-07-10,19045,Clinton,3598,120,69,1
2020-07-10,19123,Mahaska,1481,118,99,17
2020-07-10,19165,Shelby,1149,117,105,0
2020-07-10,19157,Poweshiek,1345,107,95,8
2020-07-10,19027,Carroll,2175,104,85,1
2020-07-10,19151,Pocahontas,937,104,52,1
2020-07-10,19017,Bremer,2447,102,80,7
2020-07-10,19069,Franklin,1283,100,62,0
2020-07-10,19057,Des Moines,2983,95,79,2
2020-07-10,19141,O'Brien,1280,93,71,1
2020-07-10,19063,Emmet,1005,92,58,0
2020-07-10,19087,Henry,1787,89,77,3
2020-07-10,19083,Hardin,1941,87,50,0
2020-07-10,19031,Cedar,1769,86,69,1
2020-07-10,19035,Cherokee,1273,81,67,1
2020-07-10,19173,Taylor,683,81,74,0
2020-07-10,19133,Monona,952,77,55,0
2020-07-10,19067,Floyd,1919,76,60,2
2020-07-10,19125,Marion,2138,74,59,0
2020-07-10,19077,Guthrie,1079,72,58,4
2020-07-10,19011,Benton,2221,71,51,1
2020-07-10,19105,Jones,1598,66,55,0
2020-07-10,19161,Sac,1331,65,60,0
2020-07-10,19143,Osceola,453,64,50,0
2020-07-10,19101,Jefferson,1332,62,51,0
2020-07-10,19019,Buchanan,2102,61,37,1
2020-07-10,19095,Iowa,1919,61,45,1
2020-07-10,19023,Butler,1593,60,49,2
2020-07-10,19091,Humboldt,967,58,49,1
2020-07-10,19025,Calhoun,1204,57,38,2
2020-07-10,19085,Harrison,1140,56,47,0
2020-07-10,19081,Hancock,1288,56,45,1
2020-07-10,19111,Lee,2059,54,42,2
2020-07-10,19055,Delaware,1490,54,41,1
2020-07-10,19065,Fayette,1977,53,33,0
2020-07-10,19135,Monroe,565,51,44,7
2020-07-10,19121,Madison,1492,50,34,2
2020-07-10,19119,Lyon,705,48,41,0
2020-07-10,19097,Jackson,1474,47,16,0
2020-07-10,19043,Clayton,1586,46,36,3
2020-07-10,19147,Palo Alto,1130,45,33,0
2020-07-10,19129,Mills,2035,44,34,0
2020-07-10,19131,Mitchell,1255,43,23,0
2020-07-10,19191,Winneshiek,1532,43,24,0
2020-07-10,19051,Davis,607,42,36,1
2020-07-10,19075,Grundy,1283,42,26,0
2020-07-10,19109,Kossuth,1290,39,24,0
2020-07-10,19089,Howard,909,38,15,0
2020-07-10,19175,Union,1430,36,22,0
2020-07-10,19117,Lucas,549,31,24,4
2020-07-10,19189,Winnebago,928,31,22,0
2020-07-10,19073,Greene,884,29,22,0
2020-07-10,19037,Chickasaw,1182,29,28,0
2020-07-10,NA,Pending Investigation,3318,27,4,0
2020-07-10,19029,Cass,932,27,18,0
2020-07-10,19093,Ida,707,23,22,0
2020-07-10,19177,Van Buren,470,21,17,0
2020-07-10,19007,Appanoose,932,21,17,3
2020-07-10,19195,Worth,661,21,11,0
2020-07-10,19145,Page,1257,20,20,0
2020-07-10,19107,Keokuk,823,20,18,1
2020-07-10,19001,Adair,516,17,12,0
2020-07-10,19009,Audubon,518,16,15,1
2020-07-10,19159,Ringgold,557,15,12,1
2020-07-10,19053,Decatur,459,12,10,0
2020-07-10,19137,Montgomery,826,11,8,2
2020-07-10,19185,Wayne,346,10,6,0
2020-07-10,19071,Fremont,432,8,7,0
2020-07-10,19003,Adams,294,8,8,0
